game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
2224095,1082,2,7.0,Rudi Garcia,40,1,10.0,Francis Gillot,Home,1
2224097,273,0,8.0,Frédéric Antonetti,969,2,6.0,René Girard,Away,0
2224097,969,2,6.0,René Girard,273,0,8.0,Frédéric Antonetti,Home,1
2224098,1158,1,9.0,Christian Gourcuff,1423,1,11.0,Daniel Sanchez,Home,0
2224098,1423,1,11.0,Daniel Sanchez,1158,1,9.0,Christian Gourcuff,Away,0
2224099,750,1,17.0,Eric Hély,1159,2,19.0,Patrick Gabriel,Home,0
2224099,1159,2,19.0,Patrick Gabriel,750,1,17.0,Eric Hély,Away,1
2224101,244,0,3.0,Élie Baup,583,2,1.0,Carlo Ancelotti,Away,0
2224101,583,2,1.0,Carlo Ancelotti,244,0,3.0,Élie Baup,Home,1
2224103,273,2,7.0,Frédéric Antonetti,750,2,15.0,Eric Hély,Home,0
2224103,750,2,15.0,Eric Hély,273,2,7.0,Frédéric Antonetti,Away,0
2224104,1041,3,2.0,Rémi Garde,1158,1,9.0,Christian Gourcuff,Home,1
2224104,1158,1,9.0,Christian Gourcuff,1041,3,2.0,Rémi Garde,Away,0
2224111,40,0,10.0,Francis Gillot,3911,2,14.0,Landry Chauvin,Home,0
2224111,3911,2,14.0,Landry Chauvin,40,0,10.0,Francis Gillot,Away,1
2224113,244,0,2.0,Élie Baup,618,2,4.0,Christophe Galtier,Away,0
2224113,618,2,4.0,Christophe Galtier,244,0,2.0,Élie Baup,Home,1
2224114,273,1,12.0,Frédéric Antonetti,1423,4,11.0,Daniel Sanchez,Away,0
2224114,1423,4,11.0,Daniel Sanchez,273,1,12.0,Frédéric Antonetti,Home,1
2224123,244,2,2.0,Élie Baup,415,1,10.0,Alain Casanova,Home,1
2224123,415,1,10.0,Alain Casanova,244,2,2.0,Élie Baup,Away,0
2224126,583,1,1.0,Carlo Ancelotti,1041,0,3.0,Rémi Garde,Away,1
